Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer,School District,Year,,,
invoice,12/31/10,,,,,"$2,503,499.74",,- No Customer/Project -,OTHER,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Academy Of Arts Careers & Tech,COMPANY,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Aces Alternative High School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$7,735.38",,Adidas,COMPANY,2010,,,
invoice,12/31/10,,,,,"$2,399.00",,Advanced Technologies Academy,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$2,997.29",,"AJB, Inc.",COMPANY,2010,,,
invoice,12/31/10,,,,,"$4,276.00",,Alaska Airlines,COMPANY,2010,,,
invoice,12/31/10,,,,,"$18,558.00",,Alaska Job Corps Center,COMPANY,2010,,,
invoice,12/31/10,,,,,$471.00,,Alice Smith Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$419.70,,Alyce Taylor Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$30,172.75",,Anchorage School District,Anchorage School District,2010,,,
invoice,12/31/10,,,,,"$72,181.00",,Anderson Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$13,996.00",,Archie Clayton Middle School,Mount Baker School District,2010,,,
invoice,12/31/10,,,,,$345.00,,Arlington Pharmacy,COMPANY,2010,,,
invoice,12/31/10,,,,,"$41,375.64",,Arlington School District 16,Arlington School District 16,2010,,,
invoice,12/31/10,,,,,"$1,645.00",,Arts & Technology High School,Marysville School District 25,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Ashland Middle School,Ashland Public Schools - District 5,2010,,,
invoice,12/31/10,,,,,"$59,834.14",,Ashland Public Schools - District 5,Ashland Public Schools - District 5,2010,,,
invoice,12/31/10,,,,,"$6,386.19",,Asotin Elementary School,Asotin-Anatone School District 420,2010,,,
invoice,12/31/10,,,,,"$3,842.58",,Asotin High School,Asotin-Anatone School District 420,2010,,,
invoice,12/31/10,,,,,$306.36,,Audubon Elementary School,Spokane School District 81,2010,,,
invoice,12/31/10,,,,,"$5,495.00",,AV Solutions,COMPANY,2010,,,
invoice,12/31/10,,,,,$202.12,,Bailey Charter Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$55,710.64",,Baker School District 5J,Baker School District 5J,2010,,,
invoice,12/31/10,,,,,"$3,818.38",,Barbara & Hank Greenspun Jhs,Clark County School District,2010,,,
invoice,12/31/10,,,,,$30.00,,Basic High School,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$3,816.00",,Bayshore Elementary,Anchorage School District,2010,,,
invoice,12/31/10,,,,,"$10,909.44",,Beacon Hill International ES,Seattle Public Schools,2010,,,
invoice,12/31/10,,,,,"$96,876.36",,Bellingham School District 501,Bellingham School District 501,2010,,,
invoice,12/31/10,,,,,"$1,259.10",,Bellview Elementary School,Ashland Public Schools - District 5,2010,,,
invoice,12/31/10,,,,,"$10,497.00",,Billinghurst Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$7,906.69",,Bishop Blanchet High School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$2,490.00",,BlackPoint IT Services,COMPANY,2010,,,
invoice,12/31/10,,,,,"$1,655.40",,Blaine County School District #61,Blaine County School District #61,2010,,,
invoice,12/31/10,,,,,"$4,655.19",,Blue Ridge Elementary School,Walla Walla School District,2010,,,
invoice,12/31/10,,,,,$83.94,,Bremerton School District 100-C,Bremerton School District 100-C,2010,,,
invoice,12/31/10,,,,,"$3,464.00",,Brown Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$4,552.94",,Bud Beasley Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,089.82",,Butte Falls School District 91,Butte Falls School District 91,2010,,,
invoice,12/31/10,,,,,$317.00,,Canarelli Middle School,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$8,247.50",,Canyon Creek Middle School,Washougal School District,2010,,,
invoice,12/31/10,,,,,$808.38,,Carson Elementary School,Stevenson-Carson School District 303,2010,,,
invoice,12/31/10,,,,,$225.00,,Cascade Middle School,Longview School District 122,2010,,,
invoice,12/31/10,,,,,$251.82,,Cascade Ridge Elementary,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$5,734.69",,Cascade School District 5,Cascade School District 5,2010,,,
invoice,12/31/10,,,,,"$31,443.94",,Caughlin Ranch Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$1,040.00",,CDW Logistics,COMPANY,2010,,,
invoice,12/31/10,,,,,"$2,230.19",,Cedarcrest Middle School,Marysville School District 25,2010,,,
invoice,12/31/10,,,,,"$12,009.44",,Central Point School District 6,Central Point School District 6,2010,,,
invoice,12/31/10,,,,,"$16,144.59",,Challenger Elementary School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Challenger Elementary School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,$299.00,,Cheney Middle School,Cheney School District 360,2010,,,
