Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,5/18/15,INV13700,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",5.00,$601.30 ,"$3,006.50 ",CA,Roosevelt Elementary School
,Invoice,1/14/15,INV13192,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Bud Beasley Elementary School
,Invoice,1/27/15,INV13256,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Jessie Beck Elementary School
,Invoice,2/12/15,INV13341,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Sun Valley Elementary School
,Invoice,2/16/15,INV13356,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$599.00 ,"$1,198.00 ",NV,Mount Rose Elementary School
,Invoice,2/16/15,INV13358,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Jesse Hall Elementary School
,Invoice,2/24/15,INV13407,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Roger Corbett Elementary School
,Invoice,3/9/15,INV13443,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,George Westergard Elementary School
,Invoice,4/20/15,INV13591,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Lemmon Valley Elementary School
,Invoice,4/20/15,INV13590,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Alice Maxwell Elementary School
,Invoice,4/30/15,INV13637,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",1.00,$601.30 ,$601.30 ,NV,Edward C Reed High School
,Invoice,5/12/15,INV13686,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$601.30 ,"$1,202.60 ",NV,Robert Mitchell Elementary School
,Invoice,2/2/15,INV13295,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",1.00,$616.59 ,$616.59 ,OR,Lincoln County School District
,Invoice,2/24/15,INV13415,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",5.00,$616.59 ,"$3,082.95 ",OR,Lincoln County School District
,Invoice,5/28/15,INV13755,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",2.00,$616.59 ,"$1,233.18 ",OR,Taft Elementary School
,Invoice,7/23/15,INV13980,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",1.00,$616.59 ,$616.59 ,OR,Yaquina View Elementary
,Invoice,8/3/15,INV14062,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",3.00,$616.59 ,"$1,849.77 ",OR,Oakridge School District 76
,Invoice,8/12/15,INV14092,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",5.00,$616.59 ,"$3,082.95 ",OR,Lincoln County School District
,Invoice,8/12/15,INV14093,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",1.00,$616.59 ,$616.59 ,OR,Lincoln County School District
,Invoice,5/18/15,INV13699,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",23.00,$601.30 ,"$13,829.90 ",WA,Lake Washington School District 414
,Invoice,5/28/15,INV13749,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available",1.00,$601.30 ,$601.30 ,WA,Lake Washington School District 414
,Invoice,8/28/15,INV14063,"100 range 78"" ActivBoard - 2 teacher ActivPen50 included. ActivInspire Personal Edition available   SPECIAL pricing of Buy 1 Get 1 Free for a very limited time. Regularl pricing is $601.30",100.00,$300.65 ,"$30,065.00 ",WA,Lake Washington School District 414
,Invoice,1/7/15,INV13163,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",2.00,"$1,799.00 ","$3,598.00 ",NV,Donner Springs Elementary School
,Invoice,1/14/15,INV13192,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",2.00,"$1,749.00 ","$3,498.00 ",NV,Bud Beasley Elementary School
,Invoice,1/19/15,INV13212,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",2.00,"$1,799.00 ","$3,598.00 ",NV,Washoe County School District
,Invoice,1/28/15,INV13265,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,799.00 ","$1,799.00 ",NV,Double Diamond Elementary
,Invoice,1/28/15,INV13266,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,799.00 ","$1,799.00 ",NV,Dorothy Lemelson STEM Academy
,Invoice,2/2/15,INV13285,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,799.00 ","$1,799.00 ",NV,Donner Springs Elementary School
,Invoice,2/6/15,INV13318,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",2.00,"$1,749.00 ","$3,498.00 ",NV,Florence Drake Elementary School
,Invoice,3/23/15,INV13504,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,749.00 ","$1,749.00 ",NV,Washoe County School District
,Invoice,3/26/15,INV13513,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,799.00 ","$1,799.00 ",NV,Jesse Hall Elementary School
,Invoice,4/20/15,INV13589,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,798.30 ","$1,798.30 ",NV,Lemmon Valley Elementary School
,Invoice,6/24/15,INV13854,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.",1.00,"$1,749.00 ","$1,749.00 ",NV,Incline High School
,Invoice,4/20/15,INV13584,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",2.00,"$1,749.00 ","$3,498.00 ",NV,E Otis Vaughn Middle School
,Invoice,5/14/15,INV13689,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",1.00,"$1,749.00 ","$1,749.00 ",NV,Edward W Van Gorder Elem Sch
,Invoice,5/29/15,INV13761,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",1.00,"$1,749.00 ","$1,749.00 ",NV,Donner Springs Elementary School
,Invoice,6/8/15,INV13789,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",1.00,"$1,749.00 ","$1,749.00 ",NV,Ted Hunsberger Elementary School
,Invoice,7/27/15,INV14005,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",1.00,"$1,749.00 ","$1,749.00 ",NV,Huffaker Elementary School
,Invoice,7/27/15,INV14006,"100 Range 78"" ActivBoard with mount system, DLP short throw - 2 Teacher ActivPen 50 included. ActivInspire Personal Edition available FOC.   Price valid until 9/27/15  SB 0053611",3.00,"$1,749.00 ","$5,247.00 ",NV,Yvonne Shaw Middle School
,Invoice,1/14/15,INV13184,"300 Pro range 78"" ActivBoard - 2 teacher & 2 student ActivPen 50 included. ActivInspire Professional Edition available",1.00,"$1,299.00 ","$1,299.00 ",CA,Madera County Superintendent of Schools
,Invoice,6/22/15,INV13837,"300 Pro range 78"" ActivBoard - 2 teacher & 2 student ActivPen 50 included. ActivInspire Professional Edition available",1.00,"$1,299.00 ","$1,299.00 ",CA,Chowchilla Elementary School District
