Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,6/27/16,INV15412,ActivWall 88 electronic interactive whiteboard with speakers & 2 x Digital Pen,1.00,"$1,899.00 ","$1,899.00 ",AK,Alaska Works Partnership
,Invoice,10/20/16,INV15883,"Mount Upgrade Kit with DLP ultra short-throw. Wallbox not included. For use with both current and previous versons of 64""/78""/87""/95"" ActivBoards & ActivWall 88.",1.00,"$1,599.00 ","$1,599.00 ",AK,Alaska Works Partnership
,Invoice,1/26/16,INV14862,"Just Lamps - Diamond Lamps - PRM-10/20 replacement bulb (a 6"" lens offet to the left side of the projector). Also compatible with SU70, XU73, XU74, XU83, XU84, XU86, XU87 & XL40 projectors. (AKA POA-LMP126 or L1039)",25.00,$99.00 ,"$2,475.00 ",AK,Anchorage School District
,Invoice,2/9/16,INV14918,HoverCam Solo 5.  5 megapixel document camera,1.00,$269.00 ,$269.00 ,AK,Colony High School
,Invoice,2/10/16,INV14919,HoverCam Solo 5.  5 megapixel document camera,1.00,$269.00 ,$269.00 ,AK,Colony High School
,Invoice,9/21/16,INV15741,HoverCam Solo 8,4.00,$349.00 ,"$1,396.00 ",AK,Fronteras Spanish Chtr Hs
,Invoice,9/13/16,INV15701,"Promethean DLP Remote Remote control for PRM-35, EST-P1 and UST-P1 DLP Projectors",4.00,$59.00 ,$236.00 ,AK,Joint Base Elmendorf (Anchorage)
,Invoice,5/2/16,INV15206,PRM-30 Replacement Lamp,2.00,$150.00 ,$300.00 ,AK,Klawock City School District
,Invoice,6/6/16,INV15339,Projector bracket for PRM 45 projector with V2 stand.,1.00,$1.00 ,$1.00 ,AK,Klawock City School District
,Invoice,6/6/16,INV15339,"Projector Upgrade - Includes DLP short throw projector and upgrade kit. Compatible with 64"" and 78"" ActivBoards on Fixed V2 systems",1.00,$899.00 ,$899.00 ,AK,Klawock City School District
,Invoice,3/10/16,INV15041,"Clear Touch 65"" H+ Series Interactive Panel with USB HID / AGG / 10 Points of Touch * Clear Touch does not offer a warranty on their panels residing in Alaska.   If the panel is in need of service, please contact their technical support at https://support.getcleartouch.com/portal/home and they will sell you any replacement parts at their cost plus shipping.   ***Included with panel - Clear Touch CTI-MOUNT-FIXW: Fixed Wall Mount (for use with ALL H+ Series Interactive Panels)***",1.00,"$3,999.20 ","$3,999.20 ",AK,Kodiak Area Native Association
,Invoice,3/10/16,INV15041,Clear Touch PC Module - No Operating System (i7 Dual Core / 8GB DDR3 / 240GB SSD / Ultra HD),1.00,"$1,449.00 ","$1,449.00 ",AK,Kodiak Area Native Association
,Invoice,6/23/16,INV15403,"PRM-10/20 replacement bulb (a 6"" lens offet to the left side of the projector). Also compatible with SU70, XU73, XU74, XU83, XU84, XU86, XU87 & XL40 projectors. (AKA POA-LMP126 or L1039)",3.00,$115.00 ,$345.00 ,AK,Nome Public Schools
,Invoice,6/23/16,INV15403,PRM-30 Replacement Lamp (Platinum),3.00,$129.00 ,$387.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,Safari Montage Additional Schlessinger Media K-8 Content Package (Renewal),1.00,$495.00 ,$495.00 ,AK,Nome Public Schools
